YPL218W	XP_003662957.1	73.797	187	47	1	6	190	3	189	3.78e-100	285
YPL218W	XP_003658644.1	38.286	175	101	1	16	190	13	180	2.80e-33	115
YPL218W	XP_003663087.1	38.462	169	97	2	22	190	16	177	2.12e-32	113
YPL218W	XP_003662421.1	35.294	170	103	1	21	190	17	179	2.01e-27	100
YPL218W	XP_003663384.1	30.147	136	95	0	13	148	4	139	7.18e-19	77.8
YPL218W	XP_003658829.1	34.400	125	75	1	65	189	7	124	8.38e-18	74.3
YPL218W	XP_003663042.1	27.322	183	113	4	26	190	20	200	2.15e-17	75.1
YPL259C	XP_003661027.1	55.649	478	163	5	1	468	1	439	0.0	549
YPL259C	XP_003661038.1	35.430	477	265	10	1	474	1	437	6.34e-99	302
YPL259C	XP_003664523.1	22.630	327	184	9	4	308	7	286	3.75e-19	88.6
YPR024W	XP_003666743.1	51.774	620	283	6	103	713	64	676	0.0	612
YPR024W	XP_003661581.1	42.922	438	235	5	274	698	405	840	7.26e-110	353
YPR024W	XP_003666532.1	44.262	244	132	2	280	519	131	374	6.19e-58	200
YPR024W	XP_003658823.1	40.239	251	146	2	275	521	175	425	5.65e-52	185
YPR024W	XP_003663061.1	41.379	232	135	1	278	508	221	452	8.81e-50	186
YPR024W	XP_003663061.1	41.176	238	135	4	277	510	494	730	1.77e-46	176
YPR024W	XP_003659724.1	39.271	247	146	2	277	519	131	377	5.17e-48	173
YPR024W	XP_003660321.1	38.846	260	149	3	256	511	190	443	2.33e-46	170
YPR024W	XP_003665225.1	40.964	249	134	7	275	514	159	403	4.54e-45	165
YPR024W	XP_003661905.1	37.705	244	148	2	280	519	207	450	7.57e-44	163
YPR024W	XP_003659118.1	36.515	241	141	4	269	500	839	1076	9.91e-39	153
YPR024W	XP_003665024.1	35.938	256	147	8	275	525	130	373	4.67e-38	145
YPR024W	XP_003660594.1	32.959	267	158	3	256	503	490	754	1.66e-36	145
YPR024W	XP_003662806.1	35.227	264	153	5	277	531	611	865	2.65e-36	146
YPR024W	XP_003666898.1	40.984	183	107	1	277	458	479	661	3.88e-35	141
YPR024W	XP_003666898.1	33.061	245	156	4	262	500	166	408	4.01e-29	122
YPR024W	XP_003658659.1	36.250	240	144	5	277	507	996	1235	6.58e-33	135
YPR024W	XP_003666682.1	33.121	314	175	8	241	523	262	571	1.57e-29	124
YPR024W	XP_003660388.1	34.127	252	139	7	278	509	108	352	4.80e-28	115
YPR024W	XP_003667051.1	39.037	187	110	3	316	501	827	1010	4.84e-28	119
YPR024W	XP_003665435.1	33.195	241	133	9	278	496	536	770	6.95e-25	108
YPR024W	XP_003664112.1	29.864	221	113	6	273	458	60	273	8.93e-15	76.3
YPR024W	XP_003662559.1	31.056	161	80	4	306	443	279	431	6.81e-14	73.6
YPR024W	XP_003658442.1	35.032	157	82	7	294	445	278	419	2.45e-10	62.0
YPR024W	XP_003666256.1	28.814	177	90	4	293	440	251	420	8.33e-10	60.1
YPR033C	XP_003658667.1	52.772	523	204	13	40	546	1	496	2.96e-176	506
