Sample ID	Series Accession	Study Title	Condition	Related Sample	PMID
an001001	GSE33852	Genome-wide Transcriptional Responses of the Filamentous Fungus Aspergillus niger to Lignocellulose (Wheat straw) using RNA-sequencing	N402  Glucose  48h	GSM838010,GSM838011,GSM838012	22912594
an001002	GSE33852	Genome-wide Transcriptional Responses of the Filamentous Fungus Aspergillus niger to Lignocellulose (Wheat straw) using RNA-sequencing	N402  Straw  24h	GSM838013,GSM838014,GSM838015	22912594
an001003	GSE33852	Genome-wide Transcriptional Responses of the Filamentous Fungus Aspergillus niger to Lignocellulose (Wheat straw) using RNA-sequencing	N402  Glucose+straw  5h	GSM838016,GSM838017,GSM838018	22912594
an002001	GSE42652	Trancriptional landscape of Aspergillus niger at breaking of conidial dormancy revealed by RNA-sequencing	N402 Acm    developmental stage: dormant conidia	GSM1047321,GSM1047322	23577966
an002002	GSE42652	Trancriptional landscape of Aspergillus niger at breaking of conidial dormancy revealed by RNA-sequencing	N402 Acm    conidia germinated for 1h	GSM1047323,GSM1047324	23577966
an003001	GSE57315	The role of carbon starvation in the induction of enzymes that degrade plant-derived carbohydrates in Aspergillus niger	N402  Glucose  48h	GSM1379419,GSM1379420	24792495
an003002	GSE57315	The role of carbon starvation in the induction of enzymes that degrade plant-derived carbohydrates in Aspergillus niger	N402  Wheat straw  6h	GSM1379421,GSM1379422	24792495
an003003	GSE57315	The role of carbon starvation in the induction of enzymes that degrade plant-derived carbohydrates in Aspergillus niger	N402  Starvation  6h	GSM1379423,GSM1379424	24792495
an003004	GSE57315	The role of carbon starvation in the induction of enzymes that degrade plant-derived carbohydrates in Aspergillus niger	N402  Starvation  24h	GSM1379425,GSM1379426	24792495
an004001	GSE62284	RNA-sequencing reveals the complexities of the transcriptional response to lignocellulosic biofuel substrates in Aspergillus niger.	N402  Glucose  48h	GSM1524800,GSM1524801	26457194
an004002	GSE62284	RNA-sequencing reveals the complexities of the transcriptional response to lignocellulosic biofuel substrates in Aspergillus niger.	N402  Willow  24h	GSM1524802,GSM1524803	26457194
an004003	GSE62284	RNA-sequencing reveals the complexities of the transcriptional response to lignocellulosic biofuel substrates in Aspergillus niger.	N402  Willow + glucose  24h	GSM1524804,GSM1524805	26457194
an005001	GSE80227	The transcriptional activator GaaR of Aspergillus niger is required for release and utilization of D-galacturonic acid from pectin	CBS 141257 Medium with ga   2h	GSM2121232,GSM2121233	27174630
an005002	GSE80227	The transcriptional activator GaaR of Aspergillus niger is required for release and utilization of D-galacturonic acid from pectin	ΔgaaR Medium with ga   2h	GSM2121234,GSM2121235	27174630
an005003	GSE80227	The transcriptional activator GaaR of Aspergillus niger is required for release and utilization of D-galacturonic acid from pectin	CBS 141257 Medium with sbp   2h	GSM2121236,GSM2121237	27174630
an005004	GSE80227	The transcriptional activator GaaR of Aspergillus niger is required for release and utilization of D-galacturonic acid from pectin	ΔgaaR Medium with sbp   2h	GSM2121238,GSM2121239	27174630
an005005	GSE80227	The transcriptional activator GaaR of Aspergillus niger is required for release and utilization of D-galacturonic acid from pectin	CBS 141257 Medium with sbp   8h	GSM2121240,GSM2121241	27174630
an005006	GSE80227	The transcriptional activator GaaR of Aspergillus niger is required for release and utilization of D-galacturonic acid from pectin	ΔgaaR Medium with sbp   8h	GSM2121242,GSM2121243	27174630
