Gene	GOID	ONTOLOGY	TERM
ANI_1_1000064	GO:0007165	BP	signal transduction
ANI_1_1000064	GO:0016021	CC	integral component of membrane
ANI_1_1000064	GO:0000155	MF	phosphorelay sensor kinase activity
ANI_1_1000064	GO:0007165	BP	signal transduction
ANI_1_1000064	GO:0016310	BP	phosphorylation
ANI_1_1000064	GO:0016772	MF	transferase activity
ANI_1_1000064	GO:0000160	BP	 transferring phosphorus-containing groups
ANI_1_1000074	GO:0015031	BP	protein transport
ANI_1_1000084	GO:0016829	MF	lyase activity
ANI_1_100014	GO:0022857	MF	transmembrane transporter activity
ANI_1_100014	GO:0055085	BP	transmembrane transport
ANI_1_100014	GO:0016021	CC	integral component of membrane
ANI_1_100014	GO:0022857	MF	transmembrane transporter activity
ANI_1_100014	GO:0055085	BP	transmembrane transport
ANI_1_100014	GO:0016020	CC	membrane
ANI_1_100014	GO:0022857	MF	transmembrane transporter activity
ANI_1_100074	GO:0004386	MF	helicase activity
ANI_1_100154	GO:0000030	MF	mannosyltransferase activity
ANI_1_100154	GO:0006506	BP	GPI anchor biosynthetic process
ANI_1_100154	GO:0005789	CC	endoplasmic reticulum membrane
ANI_1_100154	GO:0006506	BP	GPI anchor biosynthetic process
ANI_1_100164	GO:0008080	MF	N-acetyltransferase activity
ANI_1_1002064	GO:0004812	MF	aminoacyl-tRNA ligase activity
ANI_1_1002064	GO:0000049	MF	tRNA binding
ANI_1_1002064	GO:0043039	BP	tRNA aminoacylation
ANI_1_1002064	GO:0005524	MF	ATP binding
ANI_1_1002074	GO:0022857	MF	transmembrane transporter activity
ANI_1_1002074	GO:0022857	MF	transmembrane transporter activity
ANI_1_1002074	GO:0055085	BP	transmembrane transport
ANI_1_1002094	GO:0016787	MF	hydrolase activity
ANI_1_1004084	GO:0016887	MF	ATPase activity
ANI_1_1004084	GO:0005524	MF	ATP binding
ANI_1_1004084	GO:0016020	CC	membrane
ANI_1_1004084	GO:0055085	BP	transmembrane transport
ANI_1_1004084	GO:0042626	MF	ATPase-coupled transmembrane transporter activity
ANI_1_1004084	GO:0005524	MF	ATP binding
ANI_1_1004084	GO:0016021	CC	integral component of membrane
ANI_1_10044	GO:0008270	MF	zinc ion binding
ANI_1_10044	GO:0008237	MF	metallopeptidase activity
ANI_1_10044	GO:0006508	BP	proteolysis
ANI_1_10044	GO:0008270	MF	zinc ion binding
ANI_1_10054	GO:0008236	MF	serine-type peptidase activity
ANI_1_10054	GO:0006508	BP	proteolysis
ANI_1_10054	GO:0004252	MF	serine-type endopeptidase activity
ANI_1_10054	GO:0006508	BP	proteolysis
ANI_1_1006064	GO:0003824	MF	catalytic activity
ANI_1_1006064	GO:0055114	BP	oxidation-reduction process
ANI_1_1006064	GO:0016491	MF	oxidoreductase activity
ANI_1_1006064	GO:0055114	BP	oxidation-reduction process
ANI_1_1006064	GO:0006164	BP	purine nucleotide biosynthetic process
ANI_1_1006064	GO:0003938	MF	IMP dehydrogenase activity
