Keyword,Year,Count
Aagal,2015,1
Aaox,2020,1
Abts,2018,1
Acidic xylooligosaccharides,2021,1
Active site segment,2022,1
Acute lymphoblastic leukemia,2023,1
Additives,2017,1
Adjuvant,2022,1
Agaricus bisporus,2017,1
Agarose,2014,1
Alkalistable,2021,1
Alum,2022,1
Amino acid composition,2019,1
Amperometric response,2017,1
Amylose,2019,1
Amyr,2018,1
Antibacterial activity,2022,1
Anticancer,2021,1
Antifungal activity,2022,1
Antifungal susceptibility testing,2023,1
Antigen,2022,1
Antioxidant,2014,1
Antioxidant,2017,1
Antioxidant,2022,1
Antioxidant peptide,2019,1
Antioxidase,2022,1
Aqueous systems,2018,1
Arabinoxylan,2023,1
Artp,2022,1
Ascomycetous strains,2014,1
Ascomycota,2017,1
Aspergillus fumigatus,2017,1
Aspergillus niger,2020,1
Aspergillus niger,2022,1
Aspergillus terreus,2017,1
Bacterial cellulose,2017,1
Bacterial cellulose,2018,1
Bacterial laccase,2023,1
Baculovirus,2022,1
Bamboo powder,2018,1
Bamboo tablets,2018,1
Base editing,2022,1
Basidiomycota,2017,1
Bicovalent,2018,1
Bioaugmentation,2014,1
Biocatalysis,2017,2
Biocatalyzed polymerization,2016,1
Biochemicals,2020,1
Bioethanol,2017,1
Bioethanol,2023,1
Biofuels,2014,1
Biofuels,2017,1
Biofuels,2020,1
Biografting,2021,1
Biomanufacturing,2022,1
Biomass,2016,1
Biomass,2020,1
Biomass conversion,2023,1
Biomass degradation,2014,1
Biomolecules,2016,1
Bioprospecting,2021,1
Biorefinery,2015,1
Biorefinery,2016,1
Biorefinery,2017,1
Biorefinery,2020,1
Bioremediation,2024,1
Biotechnological applications,2016,1
Butyl ferulate,2017,1
Carbohydrate,2016,1
Carbohydrate active enzyme database,2015,1
Carbohydrate processing,2016,1
Catalytic residues,2023,1
Catechol,2016,1
Catechol oxidase,2017,1
Cazy,2014,1
Cazy,2015,1
Cazy,2016,1
Cazyme gene regulation,2021,1
Cazymes,2021,1
Cbb cycle,2021,1
Cell factory,2019,1
Cellobiohydrolase,2017,1
Cellobiohydrolase,2018,1
Cellobiohydrolase,2019,1
Cellobiose,2019,1
Cellobiose,2020,1
Cellobiose,2022,1
Cellobiose dehydrogenase,2023,1
Cellulase,2012,1
Cellulase,2014,1
Cellulase,2015,1
Cellulase,2018,1
Cellulase,2019,1
Cellulase,2021,1
Cellulase,2022,1
Cellulase,2023,4
Cellulase production,2022,1
Cellulases,2013,1
Cellulases,2017,1
Cellulases,2019,1
Cellulases,2020,1
Cellulases,2022,1
Cellulases,2023,1
Cellulolytic cocktail improvement,2017,1
Cellulose,2015,1
Cellulose,2018,1
Cellulose,2019,1
Cellulose,2020,1
Cellulose,2021,1
Cellulose degradation,2016,1
Cellulose degradation,2019,1
Cellulose degradation,2022,1
Cellulose hydrolysis,2016,1
Cellulose hydrolysis,2017,1
Cellulose nanocrystals,2023,1
Cellulose oxidation,2016,1
Cellulose saccharification,2021,1
Cellulose saccharification,2023,1
Central composite design,2023,1
Chaetosartorya cremea,2017,1
Characterization,2016,1
Characterization,2023,1
Chemical modification,2010,1
Chitin,2018,2
Chitinase,2018,1
Chitosan,2018,2
Chitosan,2022,1
Chitosan hydrogel,2018,1
Circular dichroism,2013,1
Class ii peroxidase,2015,1
Cloning,2017,1
Clr,2023,1
Coating,2021,1
Coatings,2018,1
Codon optimization,2017,1
Collagenolytic protease,2017,1
Computational prediction,2015,1
Conductive cotton,2018,1
Conformation,2013,1
Consolidated bioprocessing,2020,1
Consolidated bioprocessing,2023,1
Constitutive expression,2017,1
Copper,2019,1
Copper monooxygenase,2019,1
Corn stover,2020,1
Coupling,2021,1
Covalent immobilization,2018,1
Covalent immobilization,2023,1
Crispr,2019,1
Cryopreservation,2021,1
Crystal structure,2016,1
Crystal structure,2018,1
