Chr	Start	End	Length	Abs_summit	Pileup	Fold_enrichment	Pvalue	Name
chromosome_1	393	829	437	602	151	1.53739	5.98943	peak_1
chromosome_1	1468	4442	2975	2728	238	2.27647	27.83162	peak_2
chromosome_1	5495	6382	888	6166	140	1.38191	3.45121	peak_3
chromosome_1	7166	41181	34016	19758	466	4.65604	151.95871	peak_4
chromosome_1	42339	43749	1411	42993	192	1.94794	15.84904	peak_5
chromosome_1	46365	47022	658	46872	163	1.33646	3.26971	peak_6
chromosome_1	51110	51569	460	51366	147	1.49389	5.19941	peak_7
chromosome_1	188347	188678	332	188655	153	1.37405	3.61574	peak_8
chromosome_1	238131	238481	351	238368	136	1.31005	2.48506	peak_9
chromosome_1	249656	250123	468	249767	167	1.51545	6.18293	peak_10
chromosome_1	262194	309005	46812	305611	382	3.82005	99.96344	peak_11
chromosome_1	309627	315940	6314	313675	302	3.06466	59.11423	peak_12
chromosome_1	316175	316888	714	316457	226	2.29597	26.96099	peak_13
chromosome_1	317116	327382	10267	318318	283	2.87249	50.2253	peak_14
chromosome_1	327612	360845	33234	343695	373	3.78278	96.50011	peak_15
chromosome_1	361112	367445	6334	363391	290	2.94329	53.43962	peak_16
chromosome_1	368023	371834	3812	368270	291	2.9534	53.90477	peak_17
chromosome_1	372108	372616	509	372288	200	2.03299	18.31387	peak_18
chromosome_1	372897	379895	6999	378222	278	2.82191	47.97282	peak_19
chromosome_1	380161	395002	14842	392935	378	3.83335	99.3589	peak_20
chromosome_1	396121	406477	10357	399295	397	4.02553	110.47243	peak_21
chromosome_1	406718	411914	5197	408159	269	2.73089	44.01404	peak_22
chromosome_1	412605	419122	6518	414636	277	2.8118	47.52677	peak_23
chromosome_1	419474	424539	5066	422330	358	3.28987	77.27916	peak_24
chromosome_1	471986	473874	1889	473404	209	2.12402	21.15431	peak_25
chromosome_1	474119	476189	2071	474413	220	2.21733	24.42789	peak_26
chromosome_1	480434	480920	487	480844	154	1.56773	6.57768	peak_27
chromosome_1	483825	495222	11398	484174	312	3.1658	63.99626	peak_28
chromosome_1	496294	500303	4010	498304	299	1.94772	24.05912	peak_29
chromosome_1	500646	502207	1562	502002	185	1.45353	5.64647	peak_30
chromosome_1	503193	505246	2054	503773	204	2.07345	19.55554	peak_31
chromosome_1	505514	506836	1323	506209	210	2.13414	21.48008	peak_32
chromosome_1	507138	509243	2106	507770	231	2.34654	28.77421	peak_33
chromosome_1	509559	516866	7308	515575	252	2.40982	32.96132	peak_34
chromosome_1	764797	765983	1187	765818	194	1.97231	16.51425	peak_35
chromosome_1	800174	800405	232	800309	185	1.54551	7.34102	peak_36
chromosome_1	900105	901428	1324	900631	176	1.79025	11.58235	peak_37
chromosome_1	902696	908165	5470	907355	331	3.28817	71.54177	peak_38
chromosome_1	908435	930059	21625	921573	284	2.8826	50.68005	peak_39
chromosome_1	930324	938078	7755	935664	268	2.67483	42.33357	peak_40
