Chr	Start	End	Length	Abs_summit	Pileup	Fold_enrichment	Pvalue	Name
chromosome_1	129	316	188	157	44.21	1.30141	0.0	peak_1
chromosome_1	3142	3348	207	3315	57.87	1.63519	0.210342	peak_2
chromosome_1	7501	7667	167	7629	53.97	1.57045	0.0231072	peak_3
chromosome_1	9268	9523	256	9380	54.62	1.60085	0.122922	peak_4
chromosome_1	11424	11605	182	11511	57.87	1.69443	0.267403	peak_5
chromosome_1	12385	12557	173	12457	46.81	1.37627	0.0	peak_6
chromosome_1	12724	12996	273	12752	44.21	1.30141	0.0	peak_7
chromosome_1	13626	13810	185	13656	44.21	1.30141	0.0	peak_8
chromosome_1	16254	16517	264	16307	50.06	1.38012	0.0	peak_9a
chromosome_1	16254	16517	264	16438	47.46	1.39499	0.0	peak_9b
chromosome_1	16966	17436	471	17130	52.67	1.54471	0.0	peak_10a
chromosome_1	16966	17436	471	17348	44.21	1.30141	0.0	peak_10b
chromosome_1	18503	18713	211	18631	51.36	1.50728	0.0	peak_11
chromosome_1	20296	20471	176	20381	48.76	1.43242	0.0	peak_12
chromosome_1	22777	23064	288	22838	45.51	1.33884	0.0	peak_13
chromosome_1	24948	25419	472	25011	44.21	1.30141	0.0	peak_14a
chromosome_1	24948	25419	472	25223	46.81	1.37627	0.0	peak_14b
chromosome_1	24948	25419	472	25350	48.76	1.43242	0.0	peak_14c
chromosome_1	25579	25826	248	25723	50.06	1.46985	0.0	peak_15
chromosome_1	29442	30074	633	29530	46.81	1.37627	0.0	peak_16a
chromosome_1	29442	30074	633	29737	53.97	1.58214	0.0231072	peak_16b
chromosome_1	29442	30074	633	29972	44.21	1.30141	0.0	peak_16c
chromosome_1	36424	36631	208	36613	50.06	1.46985	0.0	peak_17
chromosome_1	37153	37332	180	37194	44.21	1.30141	0.0	peak_18
chromosome_1	38225	38535	311	38473	46.16	1.35755	0.0	peak_19
chromosome_1	39299	39445	147	39370	48.76	1.43242	0.0	peak_20
chromosome_1	39799	40089	291	40012	50.71	1.48856	0.0	peak_21
chromosome_1	41087	41583	497	41175	47.46	1.33044	0.0	peak_22a
chromosome_1	41087	41583	497	41480	71.52	1.34298	0.0	peak_22b
chromosome_1	327059	327224	166	327145	48.76	1.43242	0.0	peak_23
chromosome_1	329869	330028	160	329969	50.06	1.46985	0.0	peak_24
chromosome_1	347717	347966	250	347796	46.16	1.35755	0.0	peak_25
chromosome_1	378511	378705	195	378638	47.46	1.39499	0.0	peak_26
chromosome_1	478110	478355	246	478190	48.11	1.4137	0.0	peak_27
chromosome_1	481520	481672	153	481589	48.76	1.41762	0.0	peak_28
chromosome_1	490389	490694	306	490434	44.86	1.32012	0.0	peak_29
chromosome_1	493062	493224	163	493148	44.21	1.30141	0.0	peak_30
chromosome_1	500807	501070	264	500883	55.92	1.38874	0.0	peak_31
chromosome_1	516739	516885	147	516871	47.46	1.39499	0.0	peak_32
chromosome_1	517382	517694	313	517412	44.86	1.32012	0.0	peak_33a
chromosome_1	517382	517694	313	517636	53.97	1.5212	0.0	peak_33b
chromosome_1	791244	791466	223	791390	64.37	1.50078	0.0231072	peak_34
chromosome_1	903036	903313	278	903090	44.21	1.30141	0.0	peak_35
chromosome_1	940042	940434	393	940173	49.41	1.45113	0.0	peak_36
chromosome_1	1125787	1126068	282	1125923	44.21	1.30141	0.0	peak_37
chromosome_1	1127017	1127250	234	1127129	56.57	1.657	0.248239	peak_38
chromosome_1	1127879	1128253	375	1128172	51.36	1.50728	0.0	peak_39
chromosome_1	1140692	1140935	244	1140698	45.51	1.33884	0.0	peak_40
chromosome_1	1143321	1143554	234	1143393	45.51	1.33884	0.0	peak_41
chromosome_1	1157237	1157463	227	1157270	44.21	1.30141	0.0	peak_42
chromosome_1	1165619	1165968	350	1165698	50.71	1.48856	0.0	peak_43
chromosome_1	1206223	1206510	288	1206436	52.02	1.52599	0.0	peak_44
chromosome_1	1208251	1208752	502	1208369	52.02	1.52599	0.0	peak_45a
chromosome_1	1208251	1208752	502	1208669	45.51	1.33884	0.0	peak_45b
chromosome_1	1209217	1209365	149	1209267	48.76	1.43242	0.0	peak_46
chromosome_1	1216729	1216880	152	1216803	50.71	1.48856	0.0	peak_47
chromosome_1	1638564	1638973	410	1638679	59.17	1.73186	0.403166	peak_48a
chromosome_1	1638564	1638973	410	1638834	52.67	1.54471	0.0	peak_48b
chromosome_1	1694687	1695373	687	1694822	48.76	1.43242	0.0	peak_49a
chromosome_1	1694687	1695373	687	1695099	47.46	1.39499	0.0	peak_49b
chromosome_1	1694687	1695373	687	1695224	44.21	1.30141	0.0	peak_49c
chromosome_1	2372424	2372691	268	2372548	48.76	1.43242	0.0	peak_50
chromosome_1	2374243	2374510	268	2374408	44.21	1.30141	0.0	peak_51
chromosome_1	2375980	2376536	557	2376034	44.21	1.30141	0.0	peak_52a
chromosome_1	2375980	2376536	557	2376403	44.21	1.30141	0.0	peak_52b
chromosome_1	2401474	2401734	261	2401585	50.06	1.46985	0.0	peak_53
chromosome_1	2403299	2403782	484	2403440	46.16	1.30527	0.0	peak_54a
chromosome_1	2403299	2403782	484	2403662	48.11	1.4137	0.0	peak_54b
chromosome_1	2405273	2405762	490	2405345	44.21	1.30141	0.0	peak_55a
chromosome_1	2405273	2405762	490	2405477	50.71	1.47756	0.0	peak_55b
chromosome_1	2475985	2476428	444	2476057	53.32	1.56342	0.0231072	peak_56
chromosome_1	2477217	2477364	148	2477309	50.06	1.46985	0.0	peak_57
chromosome_1	2484527	2484822	296	2484582	46.81	1.37627	0.0	peak_58
chromosome_1	2497914	2498070	157	2497945	45.51	1.33884	0.0	peak_59
chromosome_1	2501452	2501750	299	2501566	59.82	1.75057	0.403166	peak_60
chromosome_1	2524768	2525005	238	2524801	51.36	1.29629	0.0	peak_61
chromosome_1	2561748	2561961	214	2561882	48.76	1.43242	0.0	peak_62
chromosome_1	2562320	2562763	444	2562462	48.76	1.43242	0.0	peak_63a
chromosome_1	2562320	2562763	444	2562705	48.76	1.43242	0.0	peak_63b
chromosome_1	2562965	2563443	479	2563312	44.21	1.30141	0.0	peak_64a
chromosome_1	2562965	2563443	479	2563313	44.21	1.29179	0.0	peak_64b
chromosome_1	2574188	2574495	308	2574253	46.81	1.37627	0.0	peak_65
chromosome_1	2585423	2585650	228	2585530	57.22	1.67571	0.267403	peak_66
chromosome_1	2609552	2609813	262	2609586	48.76	1.43242	0.0	peak_67
chromosome_1	2613799	2614148	350	2613902	46.81	1.37627	0.0	peak_68
chromosome_1	2627085	2627304	220	2627140	44.21	1.30141	0.0	peak_69
chromosome_1	2630288	2630499	212	2630346	59.17	1.39311	0.0	peak_70
chromosome_1	2633100	2633275	176	2633199	52.02	1.35936	0.0	peak_71
chromosome_1	2633943	2634176	234	2634003	60.47	1.42948	0.0	peak_72
chromosome_1	2638698	2638970	273	2638779	55.92	1.45939	0.0	peak_73a
chromosome_1	2638698	2638970	273	2638882	59.17	1.62614	0.252549	peak_73b
chromosome_1	2660135	2660302	168	2660211	49.41	1.45113	0.0	peak_74
chromosome_1	2662542	2662720	179	2662578	45.51	1.33058	0.0	peak_75
chromosome_1	2664064	2664397	334	2664156	53.32	1.56342	0.0231072	peak_76
chromosome_1	2665427	2665878	452	2665659	47.46	1.39499	0.0	peak_77
chromosome_1	2699585	2699778	194	2699648	46.81	1.37627	0.0	peak_78
chromosome_1	2736330	2736523	194	2736403	47.46	1.39499	0.0	peak_79
chromosome_1	2737249	2737672	424	2737321	48.11	1.4137	0.0	peak_80a
chromosome_1	2737249	2737672	424	2737590	53.32	1.51554	0.0	peak_80b
chromosome_1	2745383	2745693	311	2745583	49.41	1.45113	0.0	peak_81
chromosome_1	2746810	2747239	430	2746944	54.62	1.50313	0.0	peak_82a
chromosome_1	2746810	2747239	430	2747148	51.36	1.50728	0.0	peak_82b
chromosome_1	2747967	2748587	621	2748074	48.11	1.4137	0.0	peak_83a
chromosome_1	2747967	2748587	621	2748367	44.86	1.32012	0.0	peak_83b
chromosome_1	2756770	2756987	218	2756828	49.41	1.26644	0.0	peak_84
chromosome_1	2758104	2758250	147	2758175	92.33	1.61217	0.625712	peak_85
chromosome_1	2762573	2762887	315	2762685	59.82	1.69626	0.368104	peak_86
chromosome_1	2784579	2784830	252	2784615	46.81	1.37627	0.0	peak_87
chromosome_1	2787776	2788025	250	2787809	50.71	1.31907	0.0	peak_88
chromosome_1	2797292	2798791	1500	2797458	57.22	1.66333	0.267403	peak_89a
chromosome_1	2797292	2798791	1500	2797709	50.06	1.46985	0.0	peak_89b
