Sample ID	Strain	Strategy	Carbon Sources	Temperature	Time	Study Title	Series Accession	Related Sample
tr001001	QM6a		Glucose		48h	Genome-wide transcriptional response of the filamentous fungus Trichoderma reesei to lignocellulose using RNA sequencing and comparison with Aspergillus niger	GSE44648	GSM1088351,GSM1088352,GSM1088353
tr001002	QM6a		Straw		24h	Genome-wide transcriptional response of the filamentous fungus Trichoderma reesei to lignocellulose using RNA sequencing and comparison with Aspergillus niger	GSE44648	GSM1088354,GSM1088355,GSM1088356
tr001003	QM6a		Straw + glucose		5h	Genome-wide transcriptional response of the filamentous fungus Trichoderma reesei to lignocellulose using RNA sequencing and comparison with Aspergillus niger	GSE44648	GSM1088357,GSM1088358
tr002001	QM9414		Cellulose			Transcriptional landscape of XYR1 in Trichoderma reesei during the degradation of cellulosic material	GSE66982	GSM1297497,GSM1297498,GSM1297499
tr002002	QM9414		Sophorose			Transcriptional landscape of XYR1 in Trichoderma reesei during the degradation of cellulosic material	GSE66982	GSM1297500,GSM1297501,GSM1297502
tr002003	QM9414		Glucose			Transcriptional landscape of XYR1 in Trichoderma reesei during the degradation of cellulosic material	GSE66982	GSM1297503,GSM1297505,GSM1297504
tr002004	Δxyr1		Cellulose			Transcriptional landscape of XYR1 in Trichoderma reesei during the degradation of cellulosic material	GSE66982	GSM1635465,GSM1635466,GSM1635467
tr002005	Δxyr1		Sophorose			Transcriptional landscape of XYR1 in Trichoderma reesei during the degradation of cellulosic material	GSE66982	GSM1635468,GSM1635469,GSM1635470
tr002006	Δxyr1		Glucose			Transcriptional landscape of XYR1 in Trichoderma reesei during the degradation of cellulosic material	GSE66982	GSM1635471,GSM1635472,GSM1635473
tr003001	Δcre1		Cellulose			Genome-wide RNA-seq analysis during carbon catabolite repression in Trichoderma reesei reveals a multilevel control of cellulase production and action	GSE57374	GSM1381336,GSM1381337,GSM1381338
tr003002	Δcre1		Glucose			Genome-wide RNA-seq analysis during carbon catabolite repression in Trichoderma reesei reveals a multilevel control of cellulase production and action	GSE57374	GSM1381339,GSM1381340,GSM1381341
tr005001	Tu-6 DeltaKap8		Sophorose		3h	The ß-importin KAP8 (Pse1/Kap121) is required for nuclear import of the cellulase transcriptional regulator XYR1, asexual sporulation and stress resistance in Trichoderma reesei	GSE59600	GSM1440308,GSM1440309,GSM1440310
tr005002	Tu-6 DeltaKap8		Glycerol			The ß-importin KAP8 (Pse1/Kap121) is required for nuclear import of the cellulase transcriptional regulator XYR1, asexual sporulation and stress resistance in Trichoderma reesei	GSE59600	GSM1440311,GSM1440312,GSM1440313
tr005003	Retransformed kap8		Sophorose		3h	The ß-importin KAP8 (Pse1/Kap121) is required for nuclear import of the cellulase transcriptional regulator XYR1, asexual sporulation and stress resistance in Trichoderma reesei	GSE59600	GSM1440314,GSM1440315,GSM1440316
tr005004	Retransformed kap8		Glycerol			The ß-importin KAP8 (Pse1/Kap121) is required for nuclear import of the cellulase transcriptional regulator XYR1, asexual sporulation and stress resistance in Trichoderma reesei	GSE59600	GSM1440317,GSM1440318,GSM1440319
tr006001	Δcre1		Sophorose			Genome-wide RNA-seq analysis during CRE1-mediated carbon catabolite repression in Trichoderma reesei grown in sophorose	GSE66915	GSM1634264,GSM1634265,GSM1634266
tr006002	QM9414		Sophorose			Genome-wide RNA-seq analysis during CRE1-mediated carbon catabolite repression in Trichoderma reesei grown in sophorose	GSE66915	GSM1634267,GSM1634268,GSM1634269
tr007001	QM9978 cellulase negative		Glucose			Genome sequencing and transcriptome analysis of Trichoderma reesei QM9978 reveals vib1 to be essential for cellulase induction	GSE89199	GSM2360585,GSM2360586
tr007002	QM9978 cellulase negative		Lactose		24h 	Genome sequencing and transcriptome analysis of Trichoderma reesei QM9978 reveals vib1 to be essential for cellulase induction	GSE89199	GSM2360587,GSM2360588
tr007003	QM9978 cellulase negative		Lactose		48h	Genome sequencing and transcriptome analysis of Trichoderma reesei QM9978 reveals vib1 to be essential for cellulase induction	GSE89199	GSM2360589,GSM2360590
tr007004	QM6a wild type		Glucose			Genome sequencing and transcriptome analysis of Trichoderma reesei QM9978 reveals vib1 to be essential for cellulase induction	GSE89199	GSM2360591,GSM2360592
tr007005	QM6a wild type		Lactose		24h	Genome sequencing and transcriptome analysis of Trichoderma reesei QM9978 reveals vib1 to be essential for cellulase induction	GSE89199	GSM2360593,GSM2360594
tr007006	QM6a wild type		Lactose		48h	Genome sequencing and transcriptome analysis of Trichoderma reesei QM9978 reveals vib1 to be essential for cellulase induction	GSE89199	GSM2360595,GSM2360596
tr008001	QM6a		Glucose			Transcriptomic responses of mixed cultures of ascomycete fungi to lignocellulose using dual RNA-seq reveal inter-species antagonism and limited beneficial effects on CAZyme expression	GSE81187	GSM2144332,GSM2144333,GSM2144334
tr008002	QM6a		Straw			Transcriptomic responses of mixed cultures of ascomycete fungi to lignocellulose using dual RNA-seq reveal inter-species antagonism and limited beneficial effects on CAZyme expression	GSE81187	GSM2144341,GSM2144342,GSM2144343
tr008003	QM6a A. niger+T. reesei		Straw			Transcriptomic responses of mixed cultures of ascomycete fungi to lignocellulose using dual RNA-seq reveal inter-species antagonism and limited beneficial effects on CAZyme expression	GSE81187	GSM2144347,GSM2144348,GSM2144349
tr008004	QM6a T. reesei+P. chrysogenum		Straw			Transcriptomic responses of mixed cultures of ascomycete fungi to lignocellulose using dual RNA-seq reveal inter-species antagonism and limited beneficial effects on CAZyme expression	GSE81187	GSM2144350,GSM2144351,GSM2144352
tr008005	QM6a A. niger+T. reesei+P. chrysogenum		Straw			Transcriptomic responses of mixed cultures of ascomycete fungi to lignocellulose using dual RNA-seq reveal inter-species antagonism and limited beneficial effects on CAZyme expression	GSE81187	GSM2144356,GSM2144357,GSM2144358
